Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	End File	Begin File	Sound Type					
22	Spectrogram 1	1	2067.742322	2074.935599	589.6	1381.6	7.1933	-54.69	12.86	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Halb_start		2067.742322	2074.935599		
23	Spectrogram 1	1	2075.103863	2079.773184	748.9	1593.5	4.6693	-47.78	20.76	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Halb_peak		2075.103863	2079.773184		
24	Spectrogram 1	1	2080.160442	2083.168157	358.5	900.3	3.0077	-56.65	11.71	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Halb_end		2080.160442	2083.168157		
25	Spectrogram 1	1	2085.883085	2086.724404	661.334	980.034	0.8413	-52.77	19.07	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_P1		2085.883085	2086.724404		
26	Spectrogram 1	1	2087.825343	2088.603564	605.247	1043.447	0.7782	-47.14	24.83	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_P2		2087.825343	2088.603564		
27	Spectrogram 1	1	2089.733265	2090.385287	609.87	1024.17	0.652	-47.54	24.62	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_P3		2089.733265	2090.385287		
28	Spectrogram 1	1	2091.438586	2092.237839	786.238	1096.938	0.7993	-57.65	18.98	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_P4		2091.438586	2092.237839		
29	Spectrogram 1	1	2093.460035	2094.301354	736.526	1007.426	0.8413	-50.39	26.37	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_P5		2093.460035	2094.301354		
30	Spectrogram 1	1	2097.32639	2098.209774	23.9	255	0.8834	-39.41	17.45	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_S1		2097.32639	2098.209774		
31	Spectrogram 1	1	2099.87138	2100.6496	47.8	247	0.7782	-40.1	20.79	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_S2		2099.87138	2100.6496		
32	Spectrogram 1	1	2102.20604	2103.19459	39.8	239	0.9885	-38.44	20.01	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_S3		2102.20604	2103.19459		
33	Spectrogram 1	1	2104.75103	2105.73958	31.9	247	0.9885	-38.19	20.19	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_S4		2104.75103	2105.73958		
34	Spectrogram 1	1	2107.208674	2108.113092	31.9	207.2	0.9044	-40.87	18.13	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pwur_S5		2107.208674	2108.113092		
