Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
48	Spectrogram 1	1	502.6445827	503.6261717	294.8	669.3	0.9816	-46.33	20.52	502.6446	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Pmor_P3
49	Spectrogram 1	1	505.1729179	505.9909086	318.7	693.2	0.818	-50.45	19.2	505.1729	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Pmor_P4
50	Spectrogram 1	1	507.6888217	508.4919399	278.9	605.5	0.8031	-49.64	17.6	507.6888	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Pmor_P5
51	Spectrogram 1	1	510.4848629	511.3474713	294.8	701.1	0.8626	-48.11	21.47	510.4849	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Pmor_P6
52	Spectrogram 1	1	513.2887739	514.4042159	255	669.3	1.1154	-51.36	17.24	513.2888	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Pmor_P7
53	Spectrogram 1	1	516.3525212	517.676179	159.3	390.4	1.3237	-52.77	14.83	516.3525	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Pmor_P8
54	Spectrogram 1	1	519.9047822	521.2433125	127.5	398.4	1.3385	-53.15	12.47	519.9048	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Pmor_P9
55	Spectrogram 1	1	523.4210024	524.9677486	127.5	398.4	1.5467	-53.07	14.68	523.421	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Pmor_P10
56	Spectrogram 1	1	547.2323217	554.4255993	589.6	1381.6	7.1933	-55.04	12.55	547.2323	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Halbstart
57	Spectrogram 1	1	554.5938631	559.2631837	748.9	1593.5	4.6693	-48.15	20.49	554.5939	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Halbpeak
58	Spectrogram 1	1	559.6504418	562.6581573	358.5	900.3	3.0077	-56.45	11.71	559.6504	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Halbend
59	Spectrogram 1	1	565.3730847	566.2144037	661.334	980.034	0.8413	-51.94	17.78	565.3731	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurP_P1
60	Spectrogram 1	1	567.3153434	568.0935635	605.247	1043.447	0.7782	-47.03	23.59	567.3153	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurP_P2
61	Spectrogram 1	1	569.2232651	569.8752874	609.87	1024.17	0.652	-47.91	24.25	569.2233	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurP_P3
62	Spectrogram 1	1	570.9285859	571.727839	786.238	1096.938	0.7993	-57.17	18.2	570.9286	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurP_P4
63	Spectrogram 1	1	572.9500353	573.7913544	736.526	1007.426	0.8413	-50.65	24.2	572.95	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurP_P5
64	Spectrogram 1	1	576.8163895	577.6997744	23.9	255	0.8834	-38.99	19.31	576.8164	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurS_S1
65	Spectrogram 1	1	579.3613795	580.1395996	47.8	247	0.7782	-39.37	19.55	579.3614	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurS_S2
66	Spectrogram 1	1	581.6960398	582.6845896	39.8	239	0.9885	-38.51	18.7	581.696	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurS_S3
67	Spectrogram 1	1	584.2410298	585.2295797	31.9	247	0.9885	-38.56	19.4	584.241	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurS_S4
68	Spectrogram 1	1	586.6986736	587.6030916	31.9	207.2	0.9044	-40.86	16.54	586.6987	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_PwurS_S5
